 2.7200 18.6700 13.5000 12.5000 162000.0000 162000.0000
 0.1600 9500.0000  0.6000 19.9000  0.4000  0.2300
13750.9871  0.9967  0.0167  0.0130 24.2000  0.0000
700.0000 40.0000 27000.0000 59400.0000  1.0000  0.0000
 0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
10.0000 23.5000  7.8538  0.0284 -8.0492  2.5635 12.2077
10.0000 23.5100  7.8624  0.0130 11.6882  1.6044  9.6376
10.0000 23.5200  7.7660  0.0176 -0.1201  1.4846 20.5702
10.0000 23.5300  7.8749  0.0135 -11.4851  1.6872 10.3908
10.0000 23.5400  7.8024  0.0465 -3.4799  2.3644 16.0440
10.0000 23.5500  7.8710  0.0005  7.6582  0.7285  6.8992
10.0000 23.5600  7.8738  0.0012  8.9999  0.8325  8.0786
10.0000 23.5700  7.8514  0.0076  3.4808  0.4264  3.1269
10.0000 23.5800  7.8530  0.0312  3.8993  0.3245  3.7660
10.0000 23.5900  7.9039  0.0111 -10.8134  1.5118 11.3591
10.0000 23.6000  7.7900  0.0112 -0.7059  1.2309 20.6052
10.0000 23.6100  7.8943  0.0008  9.1504  0.5615  8.6735
10.0000 23.6200  7.8821  0.0014  4.0907  0.0996  4.4118
10.0000 23.6300  7.9019  0.0004  5.9736  0.1014  6.2591
10.0000 23.6400  7.9026  0.0003  5.3109  0.0003  5.7711
10.0000 23.6500  7.9108  0.0002  6.1439  0.0001  6.6002
10.0000 23.6600  7.9164  0.0002  6.7726  0.0000  7.2260
10.0000 23.6700  7.9209  0.0002  7.3320  0.0000  7.7831
10.0000 23.6800  7.9248  0.0001  7.8533  0.0000  8.3024
10.0000 23.6900  7.9284  0.0001  8.3481  0.0000  8.7954
10.0000 23.7000  7.9318  0.0001  8.8184  0.0000  9.2640
10.0000 23.7100  7.9354  0.0001  9.2639  0.0000  9.7080
10.0000 23.7200  7.9391  0.0001  9.6809  0.0000 10.1234
10.0000 23.7300  7.9433  0.0002 10.0675  0.0000 10.5083
10.0000 23.7400  7.9480  0.0002 10.4227  0.0001 10.8616
10.0000 23.7500  7.9532  0.0002 10.7473  0.0001 11.3508
10.0000 23.7600  7.9589  0.0001 11.0448  0.0000 11.6461
10.0000 23.7700  7.9651  0.0001 11.3199  0.0000 11.9190
10.0000 23.7800  7.9717  0.0001 11.5756  0.0001 12.1723
10.0000 23.7900  7.9785  0.0001 11.8154  0.0000 12.4097
10.0000 23.8000  7.9854  0.0001 -11.9575  0.0000 12.6345
10.0000 23.8100  7.9923  0.0001 -11.7400  0.0000 12.8496
10.0000 23.8200  7.9992  0.0001 -11.5304  0.0000 13.0569
10.0000 23.8300  8.0060  0.0001 -11.3270  0.0000 13.2582
10.0000 23.8400  8.0125  0.0001 -11.1279  0.0000 13.4553
10.0000 23.8500  8.0189  0.0001 -10.9328  0.0000 13.6485
10.0000 23.8600  8.0249  0.0001 -10.7398  0.0000 13.8397
10.0000 23.8700  8.0306  0.0002 -10.5479  0.0000 14.0299
10.0000 23.8800  8.0359  0.0002 -10.3569  0.0001 14.2195
10.0000 23.8900  8.0408  0.0002 -10.1656  0.0000 14.4096
10.0000 23.9000  8.0453  0.0002 -9.9728  0.0000 14.6012
10.0000 23.9100  8.0493  0.0002 -9.7779  0.0001 14.7952
10.0000 23.9200  8.0529  0.0002 -9.5797  0.0001 14.9926
10.0000 23.9300  8.0561  0.0002 -9.3768  0.0000 15.1949
10.0000 23.9400  8.0587  0.0002 -9.1684  0.0000 15.4029
10.0000 23.9500  8.0609  0.0002 -8.9525  0.0000 15.6186
10.0000 23.9600  8.0625  0.0002 -8.7271  0.0000 15.8439
10.0000 23.9700  8.0635  0.0002 -8.4896  0.0000 16.0816
10.0000 23.9800  8.0639  0.0002 -8.2364  0.0000 16.3353
10.0000 23.9900  8.0635  0.0002 -7.9620  0.0000 16.6105
10.0000 24.0000  8.0624  0.0002 -7.6588  0.0000 16.9147
10.0000 24.0100  8.0601  0.0001 -7.3123  0.0000 17.2627
10.0000 24.0200  8.0562  0.0001 -6.8921  0.0000 17.6851
10.0000 24.0300  8.0488  0.0001 -6.3002  0.0000 18.2806
10.0000 24.0400  8.0139  0.0020 -4.4766  0.0800 20.2734
10.0000 24.0500  8.0378  0.0018 -5.3624  0.0842 19.3780
10.0000 24.0600  8.0862  0.0062 -7.6565  0.3412 17.4688
10.0000 24.0700  8.0283  0.0061 -4.5981  0.2415 20.4625
10.0000 24.0800  8.0269  0.0081 -4.3890  0.3076 20.8882
10.0000 24.0900  8.1052  0.0098 -8.0954  0.5979 17.4277
10.0000 24.1000  8.0806  0.0084 -6.5206  0.4204 18.7796
10.0000 24.1100  8.1052  0.0074  9.0913  2.3254 13.3105
10.0000 24.1200  8.1293  0.0090 -10.4822  1.3896 16.1511
10.0000 24.1300  8.0032  0.0180 -2.3705  1.0915  0.6295
10.0000 24.1400  8.0048  0.0139 -1.6791  1.3854  1.9700
10.0000 24.1500  8.1401  0.0100 -9.3015  1.2357 17.1533
10.0000 24.1600  8.1380  0.0143 11.7228  2.0954 15.4015
10.0000 24.1700  8.1070  0.0168 -6.4648  0.8276 19.5498
10.0000 24.1800  8.1465  0.0143 11.7855  2.1950 15.6029
10.0000 24.1900  8.1549  0.0113 -9.5299  1.5325 17.3644
10.0000 24.2000  8.0347  0.0191 -1.7471  1.7033  2.6424
10.0000 24.2100  8.0629  0.0299 -3.8793  1.1447  0.0000
10.0000 24.2200  8.0947  0.0495  2.8029  2.8321  9.0838
10.0000 24.2300  8.0996  0.0272 -5.0784  1.1090 21.9221
10.0000 24.2400  8.0960  0.0304 -4.7799  1.1915 21.9858
10.0000 24.2500  8.1339  0.0356  5.0941  3.1360 11.4674
10.0000 24.2600  8.0650  0.0242 -1.9523  1.9848  2.9792
10.0000 24.2700  8.0938  0.0505  1.2125  2.8175  7.8527
10.0000 24.2800  8.1792  0.0241 -8.3494  1.7877 19.0650
10.0000 24.2900  8.1917  0.0137 -11.7674  2.7295 16.7900
10.0000 24.3000  8.1756  0.0309 -7.4716  1.7465 20.0065
10.0000 24.3100  8.1509  0.0438  4.6503  3.4500 11.6274
10.0000 24.3200  8.1541  0.1068  1.9270  3.4073  8.8185
10.0000 24.3300  8.2041  0.0158 10.2756  3.4311 15.8569
10.0000 24.3400  8.1073  0.0336 -1.3931  2.6385  4.7620
10.0000 24.3500  8.1109  0.0317 -2.2978  2.4207  3.4524
10.0000 24.3600  8.1863  0.0339  6.2517  3.7203 13.3328
10.0000 24.3700  8.1243  0.0376 -3.1981  2.2952  2.3070
10.0000 24.3800  8.1304  0.0394 -3.3595  2.3192  2.1392
10.0000 24.3900  8.1878  0.0440  5.3443  3.9058 12.8916
10.0000 24.4000  8.1390  0.0391 -3.1854  2.4909  2.8111
10.0000 24.4100  8.1427  0.0380 -2.9265  2.6223  3.2985
10.0000 24.4200  8.2116  0.0375  6.4950  4.0522 14.0042
10.0000 24.4300  8.1517  0.0377 -2.0790  2.9878  4.7710
10.0000 24.4400  8.1577  0.0399 -1.5532  3.2062  5.8329
10.0000 24.4500  8.2437  0.0252  8.5730  4.0330 15.6797
10.0000 24.4600  8.1719  0.0469 -0.3355  3.6859  7.7148
10.0000 24.4700  8.1795  0.0502  0.3028  3.9206  8.6102
10.0000 24.4800  8.2662  0.0162 10.5896  3.8631 17.2623
10.0000 24.4900  8.1946  0.0546  1.5004  4.3280 10.1607
10.0000 24.5000  8.2017  0.0559  2.0034  4.4911 10.7771
10.0000 24.5100  8.2760  0.0171 11.9057  4.2290 18.4022
10.0000 24.5200  8.2140  0.0571  2.6577  4.7320 11.6015
10.0000 24.5300  8.2189  0.0573  2.7610  4.8135 11.7910
10.0000 24.5400  8.2869  0.0187 -11.9026  4.3919 18.7882
10.0000 24.5500  8.2255  0.0567  2.3800  4.8863 11.6264
10.0000 24.5600  8.2276  0.0557  1.8809  4.8632 11.2430
10.0000 24.5700  8.3009  0.0184 10.6622  4.3951 18.0421
10.0000 24.5800  8.2312  0.0518  0.2539  4.6300  9.7139
10.0000 24.5900  8.2336  0.0495 -0.8363  4.4063  8.5049
10.0000 24.6000  8.2833  0.0523  6.7983  5.1419 15.6560
10.0000 24.6100  8.2458  0.0538 -3.4788  3.8581  5.0563
10.0000 24.6200  8.2607  0.0643 -5.0587  3.6803  2.8122
10.0000 24.6300  8.2549  0.0527  0.3711  5.0154 10.3936
10.0000 24.6400  8.3088  0.0442 -8.9474  4.1079 21.8710
10.0000 24.6500  8.3293  0.0241 -11.1693  4.4107 20.3631
10.0000 24.6600  8.2951  0.0639 -7.0505  3.9662  0.4646
10.0000 24.6700  8.2957  0.0620  5.3000  5.6545 15.3645
10.0000 24.6800  8.2794  0.0544  1.0677  5.5663 11.6857
10.0000 24.6900  8.3350  0.0847  6.0046  6.2244 15.6263
10.0000 24.7000  8.3080  0.0657 -6.8411  4.2535  1.3012
10.5545 23.5000  7.8490  0.0014  8.5030  1.1333  7.0811
10.5545 23.5100  7.8475  0.0053  5.3648  0.7826  4.4664
10.5545 23.5200  7.8573  0.0013  8.5188  1.0179  7.2859
10.5545 23.5300  7.8340  0.0120  3.4638  0.6869  2.6409
10.5545 23.5400  7.8500  0.0074  4.2507  0.5860  3.7708
10.5545 23.5500  7.8850  0.0117 -10.8162  1.7355 11.0118
10.5545 23.5600  7.8830  0.0119 11.8571  1.3418 10.2138
10.5545 23.5700  7.8473  0.0089  3.2358  0.4722  2.8097
10.5545 23.5800  7.8242  0.0139  1.9424  0.5850  1.2968
10.5545 23.5900  7.8860  0.0010  6.3868  0.3875  6.1882
10.5545 23.6000  7.8887  0.0012  5.9086  0.2910  5.8707
10.5545 23.6100  7.8285  0.0119  1.5845  0.4928  1.1294
10.5545 23.6200  7.8762  0.0131  3.9497  0.1228  4.2509
10.5545 23.6300  7.8819  0.0126  4.0418  0.0646  4.4113
10.5545 23.6400  7.8831  0.0490  4.7228  0.0090  5.1783
10.5545 23.6500  7.9093  0.0003  5.8697  0.0000  6.3269
10.5545 23.6600  7.9155  0.0002  6.5670  0.0000  7.0209
10.5545 23.6700  7.9203  0.0002  7.1634  0.0000  7.6149
