1 16.7888  1.7200 24.1073  0.0017  2.1859  2.1842  6.5513  6.5509
2 14.7783  1.7200 23.9509  0.0038  2.1845  2.1844  4.8452  4.8491
3 20.5532  1.7200 24.0451  0.0042  2.4324  2.4366  8.9833  8.9837
4 15.4406  1.7200 24.1020  0.0023  2.4549  2.4526  5.3681  5.3685
5 17.6674  1.7200 23.8209  0.0043  2.5185  2.5166  7.0926  7.0965
6 18.3091  1.7200 24.0645  0.0028  2.5741  2.5713  7.5926  7.5926
7 17.4144  1.7200 23.9531  0.0014  2.5982  2.5988  7.0774  7.0786
8 18.8618  1.7200 24.0436  0.0014  2.6120  2.6106  7.9611  7.9614
9 19.0245  1.7200 24.1248  0.0001  2.6296  2.6295  8.1148  8.1149
10 16.4393  1.7200 24.2289  0.0038  2.6491  2.6529  6.2241  6.2238
11 14.4455  1.7200 24.0715  0.0008  2.7411  2.7404  4.6726  4.6730
12 17.0776  1.7200 24.1008  0.0003  2.8631  2.8634  6.9048  6.9047
13 19.2446  1.7200 24.3348  0.0012  2.9208  2.9221  8.3631  8.3631
14 15.0269  1.7200 24.0691  0.0014  3.0694  3.0690  5.0463  5.0476
15 17.4032  1.7200 23.9758  0.0047  3.1731  3.1687  6.8907  6.8922
16 18.8966  1.7200 24.3009  0.0008  3.1991  3.1999  8.0463  8.0462
17 17.2160  1.7200 24.1879  0.0027  3.2859  3.2843  6.9410  6.9389
18 16.4049  1.7200 24.0988  0.0024  3.2972  3.2997  6.2574  6.2573
19 17.3097  1.7200 24.1183  0.0006  3.3417  3.3411  6.9019  6.9020
20 20.5230  1.7200 24.0895  0.0001  3.3519  3.3520  8.9218  8.9217
21 16.8713  1.7200 24.0848  0.0012  3.5843  3.5832  6.6315  6.6318
23 17.7537  1.7200 24.0350  0.0014  3.6000  3.6014  7.2778  7.2778
24 16.8580  1.7200 24.1772  0.0004  3.6131  3.6135  6.6738  6.6740
25 18.5976  1.7200 24.2577  0.0015  3.6186  3.6201  7.8782  7.8784
26 18.7050  1.7200 23.9595  0.0008  3.7024  3.7031  7.8095  7.8099
27 18.2320  1.7200 23.9772  0.0015  3.7222  3.7237  7.4583  7.4581
28 19.2137  1.7200 24.1568  0.0041  3.7685  3.7646  8.1667  8.1654
29 15.4277  1.7200 24.3528  0.0013  3.7712  3.7724  5.5346  5.5345
30 17.3254  1.7200 23.9902  0.0009  3.7726  3.7718  6.8643  6.8647
31 19.7679  1.7200 24.2582  0.0002  4.1654  4.1656  8.6385  8.6386
32 17.0814  1.7200 24.2646  0.0041  4.3006  4.3000  6.8512  6.8471
33 15.2922  1.7200 23.9600  0.0023  4.4157  4.4135  5.1537  5.1531
34 16.8168  1.7200 24.1894  0.0035  4.4446  4.4431  6.5679  6.5647
35 17.6366  1.7200 24.2448  0.0020  6.8176  6.8156  7.1537  7.1534
