1 16.7557  1.7200 24.1172  0.0026  2.1859  2.1850  6.5513  6.5538
2 14.7516  1.7200 23.9493  0.0033  2.1845  2.1844  4.8452  4.8486
3 20.5531  1.7200 24.1339  0.0063  2.4324  2.4326  8.9833  8.9770
4 15.4194  1.7200 24.1139  0.0098  2.4549  2.4556  5.3681  5.3583
5 17.6485  1.7200 23.8628  0.0033  2.5185  2.5168  7.0926  7.0954
6 18.3309  1.7200 24.0858  0.0044  2.5741  2.5697  7.5926  7.5924
7 17.3811  1.7200 23.9939  0.0011  2.5982  2.5992  7.0774  7.0779
8 18.8458  1.7200 24.1438  0.0009  2.6120  2.6128  7.9611  7.9615
9 19.0303  1.7200 24.2156  0.0012  2.6296  2.6308  8.1148  8.1152
10 16.4291  1.7200 24.2272  0.0055  2.6491  2.6440  6.2241  6.2220
11 14.4223  1.7200 24.0774  0.0005  2.7411  2.7409  4.6726  4.6730
12 17.0487  1.7200 24.1246  0.0002  2.8631  2.8630  6.9048  6.9049
13 19.2345  1.7200 24.3497  0.0002  2.9208  2.9209  8.3631  8.3629
14 14.9043  1.7200 24.2362  0.0025  3.0694  3.0669  5.0463  5.0465
15 17.3623  1.7200 24.0651  0.0013  3.1731  3.1741  6.8907  6.8917
16 18.9084  1.7200 24.3136  0.0093  3.1991  3.2001  8.0463  8.0555
17 17.1862  1.7200 24.2185  0.0028  3.2859  3.2870  6.9410  6.9436
18 16.3787  1.7200 24.2011  0.0014  3.2972  3.2959  6.2574  6.2575
19 17.2931  1.7200 24.2033  0.0014  3.3417  3.3430  6.9019  6.9021
20 20.5208  1.7200 24.1291  0.0026  3.3519  3.3545  8.9218  8.9218
21 16.8508  1.7200 24.2051  0.0014  3.5843  3.5854  6.6315  6.6323
23 17.7849  1.7200 24.0922  0.0049  3.6000  3.5986  7.2778  7.2825
24 16.8436  1.7200 24.1777  0.0072  3.6131  3.6129  6.6738  6.6667
25 18.5873  1.7200 24.2995  0.0004  3.6186  3.6183  7.8782  7.8780
26 18.6716  1.7200 24.0526  0.0081  3.7024  3.7013  7.8095  7.8015
27 18.2150  1.7200 24.0095  0.0055  3.7222  3.7167  7.4583  7.4579
28 19.2334  1.7200 24.2109  0.0052  3.7685  3.7635  8.1667  8.1656
29 15.4254  1.7200 24.3685  0.0003  3.7712  3.7714  5.5346  5.5344
30 17.3200  1.7200 23.9946  0.0017  3.7726  3.7741  6.8643  6.8651
31 19.7307  1.7200 24.3682  0.0000  4.1654  4.1654  8.6385  8.6385
32 17.0495  1.7200 24.2911  0.0063  4.3006  4.2997  6.8512  6.8450
33 15.2827  1.7200 24.0302  0.0040  4.4157  4.4163  5.1537  5.1576
34 16.8050  1.7200 24.2407  0.0053  4.4446  4.4433  6.5679  6.5730
35 17.6384  1.7200 24.2611  0.0060  6.8176  6.8185  7.1537  7.1597
