1 16.7060  1.7200 24.1251  0.0038  2.1859  2.1847  6.5513  6.5477
2 14.9802  1.7200 23.8303  0.0020  2.1845  2.1837  4.8452  4.8434
4 15.4865  1.7200 24.2469  0.0006  2.4549  2.4554  5.3681  5.3678
7 17.3196  1.7200 24.0385  0.0014  2.5982  2.5970  7.0774  7.0782
11 14.4920  1.7200 23.9860  0.0027  2.7411  2.7414  4.6726  4.6753
12 17.0418  1.7200 24.2171  0.0042  2.8631  2.8633  6.9048  6.9089
13 19.2768  1.7200 24.2651  0.0082  2.9208  2.9196  8.3631  8.3712
17 17.1601  1.7200 24.2613  0.0084  3.2859  3.2849  6.9410  6.9494
20 20.3600  1.7200 24.2224  0.0025  3.3519  3.3511  8.9218  8.9241
24 16.8663  1.7200 24.2073  0.0023  3.6131  3.6125  6.6738  6.6760
25 18.7114  1.7200 24.1818  0.0046  3.6186  3.6189  7.8782  7.8737
29 15.4297  1.7200 24.3318  0.0005  3.7712  3.7708  5.5346  5.5343
30 17.3353  1.7200 24.0762  0.0019  3.7726  3.7720  6.8643  6.8661
31 19.8427  1.7200 24.3664  0.0045  4.1654  4.1658  8.6385  8.6430
32 17.1475  1.7200 24.2358  0.0065  4.3006  4.3003  6.8512  6.8577
34 16.8286  1.7200 24.2495  0.0011  4.4446  4.4457  6.5679  6.5675
