1 16.6850  1.7200 24.1338  0.0040  2.1859  2.1868  6.5513  6.5473
2 14.9462  1.7200 23.8255  0.0010  2.1845  2.1849  4.8452  4.8443
4 15.4550  1.7200 24.2257  0.0018  2.4549  2.4531  5.3681  5.3678
7 17.3072  1.7200 24.0353  0.0006  2.5982  2.5984  7.0774  7.0780
11 14.4589  1.7200 24.0031  0.0014  2.7411  2.7416  4.6726  4.6739
12 17.0307  1.7200 24.2266  0.0058  2.8631  2.8628  6.9048  6.9105
13 19.2447  1.7200 24.2870  0.0009  2.9208  2.9217  8.3631  8.3629
17 17.1447  1.7200 24.2699  0.0088  3.2859  3.2861  6.9410  6.9498
20 20.3502  1.7200 24.2539  0.0055  3.3519  3.3520  8.9218  8.9273
24 16.8637  1.7200 24.2164  0.0050  3.6131  3.6130  6.6738  6.6788
25 18.6543  1.7200 24.2193  0.0032  3.6186  3.6189  7.8782  7.8813
29 15.4118  1.7200 24.3374  0.0002  3.7712  3.7710  5.5346  5.5345
30 17.2721  1.7200 24.1030  0.0020  3.7726  3.7745  6.8643  6.8651
31 19.8238  1.7200 24.4287  0.0060  4.1654  4.1666  8.6385  8.6444
32 17.1054  1.7200 24.2485  0.0061  4.3006  4.3009  6.8512  6.8572
34 16.7756  1.7200 24.3028  0.0007  4.4446  4.4451  6.5679  6.5672
