1 16.2742  2.4400 24.0836  0.0051  2.1859  2.1875  6.5513  6.5465
2 14.1377  2.4400 23.9296  0.0050  2.1845  2.1836  4.8452  4.8502
3 20.4567  2.4400 23.9756  0.0005  2.4324  2.4320  8.9833  8.9834
4 14.8690  2.4400 24.0861  0.0004  2.4549  2.4550  5.3681  5.3684
5 17.3428  2.4400 23.7812  0.0060  2.5185  2.5166  7.0926  7.0983
6 17.9518  2.4400 24.0384  0.0015  2.5741  2.5726  7.5926  7.5926
7 16.9728  2.4400 23.8948  0.0019  2.5982  2.5981  7.0774  7.0793
8 18.5968  2.4400 23.9954  0.0018  2.6120  2.6136  7.9611  7.9619
9 18.7236  2.4400 24.0698  0.0004  2.6296  2.6300  8.1148  8.1148
10 15.9215  2.4400 24.2188  0.0015  2.6491  2.6494  6.2241  6.2255
11 13.7184  2.4400 24.0528  0.0015  2.7411  2.7420  4.6726  4.6739
12 16.5599  2.4400 24.0393  0.0015  2.8631  2.8644  6.9048  6.9055
13 18.9226  2.4400 24.2469  0.0067  2.9208  2.9212  8.3631  8.3698
14 14.4059  2.4400 24.0571  0.0016  3.0694  3.0690  5.0463  5.0479
15 17.0405  2.4400 23.9485  0.0035  3.1731  3.1755  6.8907  6.8934
16 18.5858  2.4400 24.2556  0.0091  3.1991  3.2002  8.0463  8.0554
17 16.7386  2.4400 24.1360  0.0007  3.2859  3.2866  6.9410  6.9410
18 15.8897  2.4400 24.0640  0.0013  3.2972  3.2963  6.2574  6.2583
19 16.8806  2.4400 24.0882  0.0015  3.3417  3.3432  6.9019  6.9019
20 20.4151  2.4400 24.0521  0.0023  3.3519  3.3517  8.9218  8.9240
21 16.3846  2.4400 24.0508  0.0009  3.5843  3.5838  6.6315  6.6323
22 16.9586  2.4400 24.1542  0.0018  3.5952  3.5955  7.1810  7.1828
23 17.3230  2.4400 23.9968  0.0005  3.6000  3.6005  7.2778  7.2780
24 16.3603  2.4400 24.1248  0.0009  3.6131  3.6123  6.6738  6.6742
25 18.2426  2.4400 24.1977  0.0011  3.6186  3.6176  7.8782  7.8780
26 18.4383  2.4400 23.9227  0.0016  3.7024  3.7038  7.8095  7.8103
27 17.9884  2.4400 23.8603  0.0443  3.7222  3.7665  7.4583  7.4593
28 18.9467  2.4400 24.1261  0.0049  3.7685  3.7644  8.1667  8.1639
29 14.7610  2.4400 24.3359  0.0059  3.7712  3.7718  5.5346  5.5287
30 16.9326  2.4400 23.9639  0.0025  3.7726  3.7708  6.8643  6.8660
31 19.5169  2.4400 24.1618  0.0056  4.1654  4.1655  8.6385  8.6329
32 16.5712  2.4400 24.2219  0.0016  4.3006  4.3018  6.8512  6.8523
33 14.7629  2.4400 23.9503  0.0069  4.4157  4.4151  5.1537  5.1606
34 16.3277  2.4400 24.1649  0.0008  4.4446  4.4454  6.5679  6.5680
35 17.2193  2.4400 24.2211  0.0059  6.8176  6.8201  7.1537  7.1590
