1 17.3156  1.0000 24.1650  0.0018  2.1859  2.1845  6.5513  6.5523
2 15.4258  1.0000 24.0025  0.0012  2.1845  2.1840  4.8452  4.8464
3 20.6302  1.0000 24.2451  0.0005  2.4324  2.4327  8.9833  8.9829
4 16.0245  1.0000 24.1435  0.0011  2.4549  2.4560  5.3681  5.3682
5 18.0091  1.0000 23.9318  0.0012  2.5185  2.5187  7.0926  7.0938
6 18.6874  1.0000 24.1316  0.0053  2.5741  2.5743  7.5926  7.5979
7 17.8765  1.0000 24.1012  0.0004  2.5982  2.5984  7.0774  7.0777
8 19.1348  1.0000 24.1828  0.0023  2.6120  2.6135  7.9611  7.9594
9 19.3372  1.0000 24.2705  0.0030  2.6296  2.6307  8.1148  8.1176
10 16.9729  1.0000 24.2558  0.0021  2.6491  2.6485  6.2241  6.2221
11 15.1790  1.0000 24.1174  0.0001  2.7411  2.7410  4.6726  4.6726
12 17.6227  1.0000 24.2539  0.0047  2.8631  2.8632  6.9048  6.9095
13 19.5971  1.0000 24.5617  0.0086  2.9208  2.9218  8.3631  8.3717
14 15.6581  1.0000 24.0984  0.0021  3.0694  3.0673  5.0463  5.0464
15 17.7821  1.0000 24.0584  0.0004  3.1731  3.1730  6.8907  6.8911
16 19.2413  1.0000 24.4241  0.0070  3.1991  3.1998  8.0463  8.0532
17 17.7188  1.0000 24.3233  0.0001  3.2859  3.2860  6.9410  6.9411
18 16.9356  1.0000 24.1867  0.0017  3.2972  3.2962  6.2574  6.2560
19 17.7563  1.0000 24.1993  0.0019  3.3417  3.3435  6.9019  6.9016
20 20.6159  1.0000 24.1984  0.0016  3.3519  3.3535  8.9218  8.9219
21 17.3712  1.0000 24.1732  0.0041  3.5843  3.5849  6.6315  6.6274
22 17.9673  1.0000 24.3931  0.0022  3.5952  3.5964  7.1810  7.1828
23 18.2019  1.0000 24.1271  0.0011  3.6000  3.6011  7.2778  7.2776
24 17.3739  1.0000 24.3114  0.0007  3.6131  3.6138  6.6738  6.6735
25 18.9648  1.0000 24.4154  0.0010  3.6186  3.6176  7.8782  7.8782
26 18.9748  1.0000 24.0646  0.0062  3.7024  3.7043  7.8095  7.8036
27 18.5581  1.0000 24.0232  0.0051  3.7222  3.7274  7.4583  7.4581
28 19.4840  1.0000 24.2400  0.0010  3.7685  3.7685  8.1667  8.1656
29 16.0908  1.0000 24.3937  0.0075  3.7712  3.7715  5.5346  5.5271
30 17.7356  1.0000 24.0638  0.0028  3.7726  3.7754  6.8643  6.8646
31 20.0075  1.0000 24.5166  0.0005  4.1654  4.1659  8.6385  8.6384
32 17.6122  1.0000 24.3720  0.0088  4.3006  4.3008  6.8512  6.8424
33 15.8430  1.0000 23.9864  0.0029  4.4157  4.4158  5.1537  5.1566
34 17.3397  1.0000 24.2545  0.0075  4.4446  4.4447  6.5679  6.5753
35 18.0913  1.0000 24.3119  0.0085  6.8176  6.8183  7.1537  7.1622
